"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220412,74140,0.453783581453914,0.0947641144204311,0.20883107783849,"control"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220517,75996,0.627834571814376,0.0877501394663675,0.13976633878695,"control"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220529,72317,0.614573054984602,0.0653959831469613,0.106408803016266,"control"
"12f-11","6a","6b",11,"REF_1","REF_1",2022,20220624,76143,0.523003721873441,0.0720925701106841,0.137843321367662,"control"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220412,74141,0.519205387345125,0.0827495551154105,0.159377304497046,"bbf"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220517,75995,0.651865458493955,0.0737890950349401,0.113196817032489,"bbf"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220529,72317,0.596863912664796,0.0618215172894671,0.103577240938315,"bbf"
"6f-9","5a","6b",9,"BVC","BVC",2022,20220624,76138,0.482379609825729,0.060719461515234,0.125874851006182,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220412,74138,0.436867812617212,0.108678010306132,0.248766348005951,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220517,75993,0.757986018843668,0.105754111221241,0.139519870541375,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220529,72320,0.790857248134763,0.0759572006344912,0.0960441354158873,"bbf"
"11f-2","6a","6b",2,"PAL","PAL",2022,20220624,76140,0.747047244350538,0.054214812398331,0.0725721335676217,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220412,74141,0.506389048347299,0.0786483786859137,0.155312163528414,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220517,76000,0.754583415998048,0.0672117660344563,0.0890713532917482,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220529,72319,0.764600157740205,0.0575298966404122,0.075241805874646,"bbf"
"13f-1","6a","6b",1,"BA6","BA6",2022,20220624,76139,0.690892020123612,0.0636902285979818,0.0921855032955607,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220412,74142,0.488817650694047,0.0850814630376175,0.174055627731148,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220517,75999,0.758497306690522,0.0721490812799844,0.0951210777461894,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220529,72315,0.757453934450924,0.0642962196463549,0.0848846599403606,"bbf"
"1f-3","5a","6b",3,"FEK","FEK",2022,20220624,76141,0.603739625803349,0.0653310258951481,0.108210597918295,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220412,74142,0.452781945654913,0.0893371234508322,0.197307168070964,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220517,75999,0.823553974485254,0.0634622608092258,0.0770590183222558,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220529,72318,0.8304079538757,0.0595580899376839,0.0717214829888285,"bbf"
"10f-8","6a","6b",8,"SDG","SDG",2022,20220624,76143,0.701151085614911,0.0784303089966598,0.111859356144156,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220412,74140,0.457751227083202,0.0949627084428476,0.207454841897315,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220517,76001,0.656428799474508,0.0853641124482515,0.130043216441125,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220529,72316,0.624818179974204,0.0710023835299202,0.113636871982265,"bbf"
"5f-4","5a","6b",4,"MO13","MO13",2022,20220624,76143,0.559420023551514,0.0657519829057856,0.117535983943433,"bbf"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220412,74141,0.447672797816905,0.0924748933403692,0.206568042086378,"mineral"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220517,75999,0.792466247540875,0.0850941009324523,0.107378833100476,"mineral"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220529,72320,0.764156363466837,0.0873654655882029,0.114329304531133,"mineral"
"4f-12","5a","6b",12,"REF_2","REF_2",2022,20220624,76139,0.554902829516058,0.0812597851966646,0.146439666324161,"mineral"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220412,74143,0.42581232879095,0.0893970326508818,0.209944678926313,"bbf"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220517,75995,0.648897988687292,0.0902482549307455,0.139079264389948,"bbf"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220529,72319,0.638947420036403,0.0754155882513821,0.118030977020121,"bbf"
"7f-7","5a","6b",7,"BIO","BIO",2022,20220624,76139,0.541125157572661,0.0684833170178234,0.126557259553447,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220412,74138,0.540010907510248,0.0800848935297252,0.148302362815154,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220517,76000,0.768044916615674,0.0710721051795642,0.0925363916120134,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220529,72318,0.768089848737092,0.0607919672188227,0.0791469478717601,"bbf"
"14f-5","6a","6b",5,"ECO","ECO",2022,20220624,76143,0.69826599533826,0.0601005008083547,0.0860710692051391,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220412,74142,0.422478740078747,0.0897478904889505,0.212431732001999,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220517,76000,0.777958510998048,0.0846599604145068,0.10882323313861,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220529,72320,0.793956048453672,0.0710974380366129,0.0895483297533711,"bbf"
"9f-10","6a","6b",10,"PCW","PCW",2022,20220624,76140,0.660456899600311,0.0886772023838692,0.134266448632052,"bbf"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220412,74138,0.493489647710605,0.0930116955580183,0.188477500975994,"mineral"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220517,75995,0.824511599099137,0.0748557908051142,0.0907880385029171,"mineral"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220529,72320,0.826168029823349,0.0653440988581282,0.0790929889554066,"mineral"
"2f-13","5a","6b",13,"REF_3","REF_3",2022,20220624,76137,0.655520284099701,0.0785259513301844,0.11979179475435,"mineral"
